l_english:

TEMPLATE_LIST:0 "TEMPLATE_LIST"
TEMPLATE_LIST_BATTLESHIP_Name_06:0 "BATTLESHIP_Name06"
TEMPLATE_LIST_BATTLESHIP_Name_07:0 "BATTLESHIP_Name07"
TEMPLATE_LIST_BATTLESHIP_Name_08:0 "BATTLESHIP_Name08"
TEMPLATE_LIST_BATTLESHIP_Name_09:0 "BATTLESHIP_Name09"
TEMPLATE_LIST_BATTLESHIP_Name_10:0 "BATTLESHIP_Name10"
TEMPLATE_LIST_BATTLESHIP_Name_11:0 "BATTLESHIP_Name11"
TEMPLATE_LIST_BATTLESHIP_Name_12:0 "BATTLESHIP_Name12"
TEMPLATE_LIST_BATTLESHIP_Name_13:0 "BATTLESHIP_Name13"
TEMPLATE_LIST_BATTLESHIP_Name_14:0 "BATTLESHIP_Name14"
TEMPLATE_LIST_BATTLESHIP_Name_15:0 "BATTLESHIP_Name15"
TEMPLATE_LIST_BATTLESHIP_Name_16:0 "BATTLESHIP_Name16"
TEMPLATE_LIST_BATTLESHIP_Name_17:0 "BATTLESHIP_Name17"
TEMPLATE_LIST_BATTLESHIP_Name_18:0 "BATTLESHIP_Name18"
TEMPLATE_LIST_BATTLESHIP_Name_19:0 "BATTLESHIP_Name19"
TEMPLATE_LIST_BATTLESHIP_Name_20:0 "BATTLESHIP_Name20"
TEMPLATE_LIST_BATTLESHIP_Name_21:0 "BATTLESHIP_Name21"
TEMPLATE_LIST_BATTLESHIP_Name_22:0 "BATTLESHIP_Name22"
TEMPLATE_LIST_BATTLESHIP_Name_23:0 "BATTLESHIP_Name23"
TEMPLATE_LIST_BATTLESHIP_Name_24:0 "BATTLESHIP_Name24"
TEMPLATE_LIST_BATTLESHIP_Name_25:0 "BATTLESHIP_Name25"
TEMPLATE_LIST_BATTLESHIP_Name_26:0 "BATTLESHIP_Name26"
TEMPLATE_LIST_BATTLESHIP_Name_27:0 "BATTLESHIP_Name27"
TEMPLATE_LIST_BATTLESHIP_Name_28:0 "BATTLESHIP_Name28"
TEMPLATE_LIST_BATTLESHIP_Name_29:0 "BATTLESHIP_Name29"
TEMPLATE_LIST_BATTLESHIP_Name_30:0 "BATTLESHIP_Name30"
TEMPLATE_LIST_BATTLESHIP_Name_31:0 "BATTLESHIP_Name31"
TEMPLATE_LIST_BATTLESHIP_Name_32:0 "BATTLESHIP_Name32"
TEMPLATE_LIST_BATTLESHIP_Name_33:0 "BATTLESHIP_Name33"
TEMPLATE_LIST_BATTLESHIP_Name_34:0 "BATTLESHIP_Name34"
TEMPLATE_LIST_BATTLESHIP_Name_35:0 "BATTLESHIP_Name35"
TEMPLATE_LIST_BATTLESHIP_Name_36:0 "BATTLESHIP_Name36"
TEMPLATE_LIST_BATTLESHIP_Name_37:0 "BATTLESHIP_Name37"
TEMPLATE_LIST_BATTLESHIP_Name_38:0 "BATTLESHIP_Name38"
TEMPLATE_LIST_BATTLESHIP_Name_39:0 "BATTLESHIP_Name39"
TEMPLATE_LIST_BATTLESHIP_Name_40:0 "BATTLESHIP_Name40"
TEMPLATE_LIST_CARRIER_Name_01:0 "CARRIER_Name01"
TEMPLATE_LIST_CARRIER_Name_02:0 "CARRIER_Name02"
TEMPLATE_LIST_CARRIER_Name_03:0 "CARRIER_Name03"
TEMPLATE_LIST_CARRIER_Name_04:0 "CARRIER_Name04"
TEMPLATE_LIST_CARRIER_Name_05:0 "CARRIER_Name05"
TEMPLATE_LIST_CARRIER_Name_06:0 "CARRIER_Name06"
TEMPLATE_LIST_CARRIER_Name_07:0 "CARRIER_Name07"
TEMPLATE_LIST_CARRIER_Name_08:0 "CARRIER_Name08"
TEMPLATE_LIST_CARRIER_Name_09:0 "CARRIER_Name09"
TEMPLATE_LIST_CARRIER_Name_10:0 "CARRIER_Name10"
TEMPLATE_LIST_CARRIER_Name_11:0 "CARRIER_Name11"
TEMPLATE_LIST_CARRIER_Name_12:0 "CARRIER_Name12"
TEMPLATE_LIST_CARRIER_Name_13:0 "CARRIER_Name13"
TEMPLATE_LIST_CARRIER_Name_14:0 "CARRIER_Name14"
TEMPLATE_LIST_CARRIER_Name_15:0 "CARRIER_Name15"
TEMPLATE_LIST_CARRIER_Name_16:0 "CARRIER_Name16"
TEMPLATE_LIST_CARRIER_Name_17:0 "CARRIER_Name17"
TEMPLATE_LIST_CARRIER_Name_18:0 "CARRIER_Name18"
TEMPLATE_LIST_CARRIER_Name_19:0 "CARRIER_Name19"
TEMPLATE_LIST_CARRIER_Name_20:0 "CARRIER_Name20"
TEMPLATE_LIST_CARRIER_Name_21:0 "CARRIER_Name21"
TEMPLATE_LIST_CARRIER_Name_22:0 "CARRIER_Name22"
TEMPLATE_LIST_CARRIER_Name_23:0 "CARRIER_Name23"
TEMPLATE_LIST_CARRIER_Name_24:0 "CARRIER_Name24"
TEMPLATE_LIST_CARRIER_Name_25:0 "CARRIER_Name25"
TEMPLATE_LIST_CARRIER_Name_26:0 "CARRIER_Name26"
TEMPLATE_LIST_CARRIER_Name_27:0 "CARRIER_Name27"
TEMPLATE_LIST_CARRIER_Name_28:0 "CARRIER_Name28"
TEMPLATE_LIST_CARRIER_Name_29:0 "CARRIER_Name29"
TEMPLATE_LIST_CARRIER_Name_30:0 "CARRIER_Name30"
TEMPLATE_LIST_CARRIER_Name_31:0 "CARRIER_Name31"
TEMPLATE_LIST_CARRIER_Name_32:0 "CARRIER_Name32"
TEMPLATE_LIST_CARRIER_Name_33:0 "CARRIER_Name33"
TEMPLATE_LIST_CARRIER_Name_34:0 "CARRIER_Name34"
TEMPLATE_LIST_CARRIER_Name_35:0 "CARRIER_Name35"
TEMPLATE_LIST_CARRIER_Name_36:0 "CARRIER_Name36"
TEMPLATE_LIST_CARRIER_Name_37:0 "CARRIER_Name37"
TEMPLATE_LIST_CARRIER_Name_38:0 "CARRIER_Name38"
TEMPLATE_LIST_CARRIER_Name_39:0 "CARRIER_Name39"
TEMPLATE_LIST_CARRIER_Name_40:0 "CARRIER_Name40"
TEMPLATE_LIST_CLONE_ARMY_SEQ:0 "TEMPLATE_LIST_CLONE_ARMY_SEQ"
TEMPLATE_LIST_COLONIZER_Name_01:0 "COLONIZER_Name01"
TEMPLATE_LIST_COLONIZER_Name_02:0 "COLONIZER_Name02"
TEMPLATE_LIST_COLONIZER_Name_03:0 "COLONIZER_Name03"
TEMPLATE_LIST_COLONIZER_Name_04:0 "COLONIZER_Name04"
TEMPLATE_LIST_COLONIZER_Name_05:0 "COLONIZER_Name05"
TEMPLATE_LIST_COLONIZER_Name_06:0 "COLONIZER_Name06"
TEMPLATE_LIST_COLONIZER_Name_07:0 "COLONIZER_Name07"
TEMPLATE_LIST_COLONIZER_Name_08:0 "COLONIZER_Name08"
TEMPLATE_LIST_COLONIZER_Name_09:0 "COLONIZER_Name09"
TEMPLATE_LIST_COLONIZER_Name_10:0 "COLONIZER_Name10"
TEMPLATE_LIST_COLONIZER_Name_11:0 "COLONIZER_Name11"
TEMPLATE_LIST_COLONIZER_Name_12:0 "COLONIZER_Name12"
TEMPLATE_LIST_COLONIZER_Name_13:0 "COLONIZER_Name13"
TEMPLATE_LIST_COLONIZER_Name_14:0 "COLONIZER_Name14"
TEMPLATE_LIST_COLONIZER_Name_15:0 "COLONIZER_Name15"
TEMPLATE_LIST_COLONIZER_Name_16:0 "COLONIZER_Name16"
TEMPLATE_LIST_COLONIZER_Name_17:0 "COLONIZER_Name17"
TEMPLATE_LIST_COLONIZER_Name_18:0 "COLONIZER_Name18"
TEMPLATE_LIST_COLONIZER_Name_19:0 "COLONIZER_Name19"
TEMPLATE_LIST_COLONIZER_Name_20:0 "COLONIZER_Name20"
TEMPLATE_LIST_COLONIZER_Name_21:0 "COLONIZER_Name21"
TEMPLATE_LIST_COLONIZER_Name_22:0 "COLONIZER_Name22"
TEMPLATE_LIST_COLONIZER_Name_23:0 "COLONIZER_Name23"
TEMPLATE_LIST_COLONIZER_Name_24:0 "COLONIZER_Name24"
TEMPLATE_LIST_COLONIZER_Name_25:0 "COLONIZER_Name25"
TEMPLATE_LIST_COLONIZER_Name_26:0 "COLONIZER_Name26"
TEMPLATE_LIST_COLONIZER_Name_27:0 "COLONIZER_Name27"
TEMPLATE_LIST_COLONIZER_Name_28:0 "COLONIZER_Name28"
TEMPLATE_LIST_COLONIZER_Name_29:0 "COLONIZER_Name29"
TEMPLATE_LIST_COLONIZER_Name_30:0 "COLONIZER_Name30"
TEMPLATE_LIST_COLONIZER_Name_31:0 "COLONIZER_Name31"
TEMPLATE_LIST_COLONIZER_Name_32:0 "COLONIZER_Name32"
TEMPLATE_LIST_COLONIZER_Name_33:0 "COLONIZER_Name33"
TEMPLATE_LIST_COLONIZER_Name_34:0 "COLONIZER_Name34"
TEMPLATE_LIST_COLONIZER_Name_35:0 "COLONIZER_Name35"
TEMPLATE_LIST_COLONIZER_Name_36:0 "COLONIZER_Name36"
TEMPLATE_LIST_COLONIZER_Name_37:0 "COLONIZER_Name37"
TEMPLATE_LIST_COLONIZER_Name_38:0 "COLONIZER_Name38"
TEMPLATE_LIST_COLONIZER_Name_39:0 "COLONIZER_Name39"
TEMPLATE_LIST_COLONIZER_Name_40:0 "COLONIZER_Name40"
TEMPLATE_LIST_COLOSSUS_Name_01:0 "COLOSSUS_Name01"
TEMPLATE_LIST_COLOSSUS_Name_02:0 "COLOSSUS_Name02"
TEMPLATE_LIST_COLOSSUS_Name_03:0 "COLOSSUS_Name03"
TEMPLATE_LIST_COLOSSUS_Name_04:0 "COLOSSUS_Name04"
TEMPLATE_LIST_COLOSSUS_Name_05:0 "COLOSSUS_Name05"
TEMPLATE_LIST_COLOSSUS_Name_06:0 "COLOSSUS_Name06"
TEMPLATE_LIST_COLOSSUS_Name_07:0 "COLOSSUS_Name07"
TEMPLATE_LIST_COLOSSUS_Name_08:0 "COLOSSUS_Name08"
TEMPLATE_LIST_COLOSSUS_Name_09:0 "COLOSSUS_Name09"
TEMPLATE_LIST_COLOSSUS_Name_10:0 "COLOSSUS_Name10"
TEMPLATE_LIST_COLOSSUS_Name_11:0 "COLOSSUS_Name11"
TEMPLATE_LIST_COLOSSUS_Name_12:0 "COLOSSUS_Name12"
TEMPLATE_LIST_COLOSSUS_Name_13:0 "COLOSSUS_Name13"
TEMPLATE_LIST_COLOSSUS_Name_14:0 "COLOSSUS_Name14"
TEMPLATE_LIST_COLOSSUS_Name_15:0 "COLOSSUS_Name15"
TEMPLATE_LIST_COLOSSUS_Name_16:0 "COLOSSUS_Name16"
TEMPLATE_LIST_COLOSSUS_Name_17:0 "COLOSSUS_Name17"
TEMPLATE_LIST_COLOSSUS_Name_18:0 "COLOSSUS_Name18"
TEMPLATE_LIST_COLOSSUS_Name_19:0 "COLOSSUS_Name19"
TEMPLATE_LIST_COLOSSUS_Name_20:0 "COLOSSUS_Name20"
TEMPLATE_LIST_COLOSSUS_Name_21:0 "COLOSSUS_Name21"
TEMPLATE_LIST_COLOSSUS_Name_22:0 "COLOSSUS_Name22"
TEMPLATE_LIST_COLOSSUS_Name_23:0 "COLOSSUS_Name23"
TEMPLATE_LIST_COLOSSUS_Name_24:0 "COLOSSUS_Name24"
TEMPLATE_LIST_COLOSSUS_Name_25:0 "COLOSSUS_Name25"
TEMPLATE_LIST_COLOSSUS_Name_26:0 "COLOSSUS_Name26"
TEMPLATE_LIST_COLOSSUS_Name_27:0 "COLOSSUS_Name27"
TEMPLATE_LIST_COLOSSUS_Name_28:0 "COLOSSUS_Name28"
TEMPLATE_LIST_COLOSSUS_Name_29:0 "COLOSSUS_Name29"
TEMPLATE_LIST_COLOSSUS_Name_30:0 "COLOSSUS_Name30"
TEMPLATE_LIST_COLOSSUS_Name_31:0 "COLOSSUS_Name31"
TEMPLATE_LIST_COLOSSUS_Name_32:0 "COLOSSUS_Name32"
TEMPLATE_LIST_COLOSSUS_Name_33:0 "COLOSSUS_Name33"
TEMPLATE_LIST_COLOSSUS_Name_34:0 "COLOSSUS_Name34"
TEMPLATE_LIST_COLOSSUS_Name_35:0 "COLOSSUS_Name35"
TEMPLATE_LIST_COLOSSUS_Name_36:0 "COLOSSUS_Name36"
TEMPLATE_LIST_COLOSSUS_Name_37:0 "COLOSSUS_Name37"
TEMPLATE_LIST_COLOSSUS_Name_38:0 "COLOSSUS_Name38"
TEMPLATE_LIST_COLOSSUS_Name_39:0 "COLOSSUS_Name39"
TEMPLATE_LIST_COLOSSUS_Name_40:0 "COLOSSUS_Name40"
TEMPLATE_LIST_CONSTRUCTOR_Name_01:0 "CONSTRUCTOR_Name01"
TEMPLATE_LIST_CONSTRUCTOR_Name_02:0 "CONSTRUCTOR_Name02"
TEMPLATE_LIST_CONSTRUCTOR_Name_03:0 "CONSTRUCTOR_Name03"
TEMPLATE_LIST_CONSTRUCTOR_Name_04:0 "CONSTRUCTOR_Name04"
TEMPLATE_LIST_CONSTRUCTOR_Name_05:0 "CONSTRUCTOR_Name05"
TEMPLATE_LIST_CONSTRUCTOR_Name_06:0 "CONSTRUCTOR_Name06"
TEMPLATE_LIST_CONSTRUCTOR_Name_07:0 "CONSTRUCTOR_Name07"
TEMPLATE_LIST_CONSTRUCTOR_Name_08:0 "CONSTRUCTOR_Name08"
TEMPLATE_LIST_CONSTRUCTOR_Name_09:0 "CONSTRUCTOR_Name09"
TEMPLATE_LIST_CONSTRUCTOR_Name_10:0 "CONSTRUCTOR_Name10"
TEMPLATE_LIST_CONSTRUCTOR_Name_11:0 "CONSTRUCTOR_Name11"
TEMPLATE_LIST_CONSTRUCTOR_Name_12:0 "CONSTRUCTOR_Name12"
TEMPLATE_LIST_CONSTRUCTOR_Name_13:0 "CONSTRUCTOR_Name13"
TEMPLATE_LIST_CONSTRUCTOR_Name_14:0 "CONSTRUCTOR_Name14"
TEMPLATE_LIST_CONSTRUCTOR_Name_15:0 "CONSTRUCTOR_Name15"
TEMPLATE_LIST_CONSTRUCTOR_Name_16:0 "CONSTRUCTOR_Name16"
TEMPLATE_LIST_CONSTRUCTOR_Name_17:0 "CONSTRUCTOR_Name17"
TEMPLATE_LIST_CONSTRUCTOR_Name_18:0 "CONSTRUCTOR_Name18"
TEMPLATE_LIST_CONSTRUCTOR_Name_19:0 "CONSTRUCTOR_Name19"
TEMPLATE_LIST_CONSTRUCTOR_Name_20:0 "CONSTRUCTOR_Name20"
TEMPLATE_LIST_CONSTRUCTOR_Name_21:0 "CONSTRUCTOR_Name21"
TEMPLATE_LIST_CONSTRUCTOR_Name_22:0 "CONSTRUCTOR_Name22"
TEMPLATE_LIST_CONSTRUCTOR_Name_23:0 "CONSTRUCTOR_Name23"
TEMPLATE_LIST_CONSTRUCTOR_Name_24:0 "CONSTRUCTOR_Name24"
TEMPLATE_LIST_CONSTRUCTOR_Name_25:0 "CONSTRUCTOR_Name25"
TEMPLATE_LIST_CONSTRUCTOR_Name_26:0 "CONSTRUCTOR_Name26"
TEMPLATE_LIST_CONSTRUCTOR_Name_27:0 "CONSTRUCTOR_Name27"
TEMPLATE_LIST_CONSTRUCTOR_Name_28:0 "CONSTRUCTOR_Name28"
TEMPLATE_LIST_CONSTRUCTOR_Name_29:0 "CONSTRUCTOR_Name29"
TEMPLATE_LIST_CONSTRUCTOR_Name_30:0 "CONSTRUCTOR_Name30"
TEMPLATE_LIST_CONSTRUCTOR_Name_31:0 "CONSTRUCTOR_Name31"
TEMPLATE_LIST_CONSTRUCTOR_Name_32:0 "CONSTRUCTOR_Name32"
TEMPLATE_LIST_CONSTRUCTOR_Name_33:0 "CONSTRUCTOR_Name33"
TEMPLATE_LIST_CONSTRUCTOR_Name_34:0 "CONSTRUCTOR_Name34"
TEMPLATE_LIST_CONSTRUCTOR_Name_35:0 "CONSTRUCTOR_Name35"
TEMPLATE_LIST_CONSTRUCTOR_Name_36:0 "CONSTRUCTOR_Name36"
TEMPLATE_LIST_CONSTRUCTOR_Name_37:0 "CONSTRUCTOR_Name37"
TEMPLATE_LIST_CONSTRUCTOR_Name_38:0 "CONSTRUCTOR_Name38"
TEMPLATE_LIST_CONSTRUCTOR_Name_39:0 "CONSTRUCTOR_Name39"
TEMPLATE_LIST_CONSTRUCTOR_Name_40:0 "CONSTRUCTOR_Name40"
TEMPLATE_LIST_CORVETTE_Name_01:0 "CORVETTE_Name01"
TEMPLATE_LIST_CORVETTE_Name_02:0 "CORVETTE_Name02"
TEMPLATE_LIST_CORVETTE_Name_03:0 "CORVETTE_Name03"
TEMPLATE_LIST_CORVETTE_Name_04:0 "CORVETTE_Name04"
TEMPLATE_LIST_CORVETTE_Name_05:0 "CORVETTE_Name05"
TEMPLATE_LIST_CORVETTE_Name_06:0 "CORVETTE_Name06"
TEMPLATE_LIST_CORVETTE_Name_07:0 "CORVETTE_Name07"
TEMPLATE_LIST_CORVETTE_Name_08:0 "CORVETTE_Name08"
TEMPLATE_LIST_CORVETTE_Name_09:0 "CORVETTE_Name09"
TEMPLATE_LIST_CORVETTE_Name_10:0 "CORVETTE_Name10"
TEMPLATE_LIST_CORVETTE_Name_11:0 "CORVETTE_Name11"
TEMPLATE_LIST_CORVETTE_Name_12:0 "CORVETTE_Name12"
TEMPLATE_LIST_CORVETTE_Name_13:0 "CORVETTE_Name13"
TEMPLATE_LIST_CORVETTE_Name_14:0 "CORVETTE_Name14"
TEMPLATE_LIST_CORVETTE_Name_15:0 "CORVETTE_Name15"
TEMPLATE_LIST_CORVETTE_Name_16:0 "CORVETTE_Name16"
TEMPLATE_LIST_CORVETTE_Name_17:0 "CORVETTE_Name17"
TEMPLATE_LIST_CORVETTE_Name_18:0 "CORVETTE_Name18"
TEMPLATE_LIST_CORVETTE_Name_19:0 "CORVETTE_Name19"
TEMPLATE_LIST_CORVETTE_Name_20:0 "CORVETTE_Name20"
TEMPLATE_LIST_CORVETTE_Name_21:0 "CORVETTE_Name21"
TEMPLATE_LIST_CORVETTE_Name_22:0 "CORVETTE_Name22"
TEMPLATE_LIST_CORVETTE_Name_23:0 "CORVETTE_Name23"
TEMPLATE_LIST_CORVETTE_Name_24:0 "CORVETTE_Name24"
TEMPLATE_LIST_CORVETTE_Name_25:0 "CORVETTE_Name25"
TEMPLATE_LIST_CORVETTE_Name_26:0 "CORVETTE_Name26"
TEMPLATE_LIST_CORVETTE_Name_27:0 "CORVETTE_Name27"
TEMPLATE_LIST_CORVETTE_Name_28:0 "CORVETTE_Name28"
TEMPLATE_LIST_CORVETTE_Name_29:0 "CORVETTE_Name29"
TEMPLATE_LIST_CORVETTE_Name_30:0 "CORVETTE_Name30"
TEMPLATE_LIST_CORVETTE_Name_31:0 "CORVETTE_Name31"
TEMPLATE_LIST_CORVETTE_Name_32:0 "CORVETTE_Name32"
TEMPLATE_LIST_CORVETTE_Name_33:0 "CORVETTE_Name33"
TEMPLATE_LIST_CORVETTE_Name_34:0 "CORVETTE_Name34"
TEMPLATE_LIST_CORVETTE_Name_35:0 "CORVETTE_Name35"
TEMPLATE_LIST_CORVETTE_Name_36:0 "CORVETTE_Name36"
TEMPLATE_LIST_CORVETTE_Name_37:0 "CORVETTE_Name37"
TEMPLATE_LIST_CORVETTE_Name_38:0 "CORVETTE_Name38"
TEMPLATE_LIST_CORVETTE_Name_39:0 "CORVETTE_Name39"
TEMPLATE_LIST_CORVETTE_Name_40:0 "CORVETTE_Name40"
TEMPLATE_LIST_CRUISER_Name_01:0 "CRUISER_Name01"
TEMPLATE_LIST_CRUISER_Name_02:0 "CRUISER_Name02"
TEMPLATE_LIST_CRUISER_Name_03:0 "CRUISER_Name03"
TEMPLATE_LIST_CRUISER_Name_04:0 "CRUISER_Name04"
TEMPLATE_LIST_CRUISER_Name_05:0 "CRUISER_Name05"
TEMPLATE_LIST_CRUISER_Name_06:0 "CRUISER_Name06"
TEMPLATE_LIST_CRUISER_Name_07:0 "CRUISER_Name07"
TEMPLATE_LIST_CRUISER_Name_08:0 "CRUISER_Name08"
TEMPLATE_LIST_CRUISER_Name_09:0 "CRUISER_Name09"
TEMPLATE_LIST_CRUISER_Name_10:0 "CRUISER_Name10"
TEMPLATE_LIST_CRUISER_Name_11:0 "CRUISER_Name11"
TEMPLATE_LIST_CRUISER_Name_12:0 "CRUISER_Name12"
TEMPLATE_LIST_CRUISER_Name_13:0 "CRUISER_Name13"
TEMPLATE_LIST_CRUISER_Name_14:0 "CRUISER_Name14"
TEMPLATE_LIST_CRUISER_Name_15:0 "CRUISER_Name15"
TEMPLATE_LIST_CRUISER_Name_16:0 "CRUISER_Name16"
TEMPLATE_LIST_CRUISER_Name_17:0 "CRUISER_Name17"
TEMPLATE_LIST_CRUISER_Name_18:0 "CRUISER_Name18"
TEMPLATE_LIST_CRUISER_Name_19:0 "CRUISER_Name19"
TEMPLATE_LIST_CRUISER_Name_20:0 "CRUISER_Name20"
TEMPLATE_LIST_CRUISER_Name_21:0 "CRUISER_Name21"
TEMPLATE_LIST_CRUISER_Name_22:0 "CRUISER_Name22"
TEMPLATE_LIST_CRUISER_Name_23:0 "CRUISER_Name23"
TEMPLATE_LIST_CRUISER_Name_24:0 "CRUISER_Name24"
TEMPLATE_LIST_CRUISER_Name_25:0 "CRUISER_Name25"
TEMPLATE_LIST_CRUISER_Name_26:0 "CRUISER_Name26"
TEMPLATE_LIST_CRUISER_Name_27:0 "CRUISER_Name27"
TEMPLATE_LIST_CRUISER_Name_28:0 "CRUISER_Name28"
TEMPLATE_LIST_CRUISER_Name_29:0 "CRUISER_Name29"
TEMPLATE_LIST_CRUISER_Name_30:0 "CRUISER_Name30"
TEMPLATE_LIST_CRUISER_Name_31:0 "CRUISER_Name31"
TEMPLATE_LIST_CRUISER_Name_32:0 "CRUISER_Name32"
TEMPLATE_LIST_CRUISER_Name_33:0 "CRUISER_Name33"
TEMPLATE_LIST_CRUISER_Name_34:0 "CRUISER_Name34"
TEMPLATE_LIST_CRUISER_Name_35:0 "CRUISER_Name35"
TEMPLATE_LIST_CRUISER_Name_36:0 "CRUISER_Name36"
TEMPLATE_LIST_CRUISER_Name_37:0 "CRUISER_Name37"
TEMPLATE_LIST_CRUISER_Name_38:0 "CRUISER_Name38"
TEMPLATE_LIST_CRUISER_Name_39:0 "CRUISER_Name39"
TEMPLATE_LIST_CRUISER_Name_40:0 "CRUISER_Name40"
TEMPLATE_LIST_DEFENSE_ARMY_SEQ:0 "TEMPLATE_LIST_DEFENSE_ARMY_SEQ"
TEMPLATE_LIST_DESTROYER_Name_01:0 "DESTROYER_Name01"
TEMPLATE_LIST_DESTROYER_Name_02:0 "DESTROYER_Name02"
TEMPLATE_LIST_DESTROYER_Name_03:0 "DESTROYER_Name03"
TEMPLATE_LIST_DESTROYER_Name_04:0 "DESTROYER_Name04"
TEMPLATE_LIST_DESTROYER_Name_05:0 "DESTROYER_Name05"
TEMPLATE_LIST_DESTROYER_Name_06:0 "DESTROYER_Name06"
TEMPLATE_LIST_DESTROYER_Name_07:0 "DESTROYER_Name07"
TEMPLATE_LIST_DESTROYER_Name_08:0 "DESTROYER_Name08"
TEMPLATE_LIST_DESTROYER_Name_09:0 "DESTROYER_Name09"
TEMPLATE_LIST_DESTROYER_Name_10:0 "DESTROYER_Name10"
TEMPLATE_LIST_DESTROYER_Name_11:0 "DESTROYER_Name11"
TEMPLATE_LIST_DESTROYER_Name_12:0 "DESTROYER_Name12"
TEMPLATE_LIST_DESTROYER_Name_13:0 "DESTROYER_Name13"
TEMPLATE_LIST_DESTROYER_Name_14:0 "DESTROYER_Name14"
TEMPLATE_LIST_DESTROYER_Name_15:0 "DESTROYER_Name15"
TEMPLATE_LIST_DESTROYER_Name_16:0 "DESTROYER_Name16"
