l_english:

CUSTODII:0 "CUSTODII"
CUSTODII_CARRIER_Name_37:0 "CARRIER_Name37"
CUSTODII_CARRIER_Name_38:0 "CARRIER_Name38"
CUSTODII_CARRIER_Name_39:0 "CARRIER_Name39"
CUSTODII_CARRIER_Name_40:0 "CARRIER_Name40"
CUSTODII_CLONE_ARMY_SEQ:0 "CUSTODII_CLONE_ARMY_SEQ"
CUSTODII_COLONIZER_Name_01:0 "COLONIZER_Name01"
CUSTODII_COLONIZER_Name_02:0 "COLONIZER_Name02"
CUSTODII_COLONIZER_Name_03:0 "COLONIZER_Name03"
CUSTODII_COLONIZER_Name_04:0 "COLONIZER_Name04"
CUSTODII_COLONIZER_Name_05:0 "COLONIZER_Name05"
CUSTODII_COLONIZER_Name_06:0 "COLONIZER_Name06"
CUSTODII_COLONIZER_Name_07:0 "COLONIZER_Name07"
CUSTODII_COLONIZER_Name_08:0 "COLONIZER_Name08"
CUSTODII_COLONIZER_Name_09:0 "COLONIZER_Name09"
CUSTODII_COLONIZER_Name_10:0 "COLONIZER_Name10"
CUSTODII_COLONIZER_Name_11:0 "COLONIZER_Name11"
CUSTODII_COLONIZER_Name_12:0 "COLONIZER_Name12"
CUSTODII_COLONIZER_Name_13:0 "COLONIZER_Name13"
CUSTODII_COLONIZER_Name_14:0 "COLONIZER_Name14"
CUSTODII_COLONIZER_Name_15:0 "COLONIZER_Name15"
CUSTODII_COLONIZER_Name_16:0 "COLONIZER_Name16"
CUSTODII_COLONIZER_Name_17:0 "COLONIZER_Name17"
CUSTODII_COLONIZER_Name_18:0 "COLONIZER_Name18"
CUSTODII_COLONIZER_Name_19:0 "COLONIZER_Name19"
CUSTODII_COLONIZER_Name_20:0 "COLONIZER_Name20"
CUSTODII_COLONIZER_Name_21:0 "COLONIZER_Name21"
CUSTODII_COLONIZER_Name_22:0 "COLONIZER_Name22"
CUSTODII_COLONIZER_Name_23:0 "COLONIZER_Name23"
CUSTODII_COLONIZER_Name_24:0 "COLONIZER_Name24"
CUSTODII_COLONIZER_Name_25:0 "COLONIZER_Name25"
CUSTODII_COLONIZER_Name_26:0 "COLONIZER_Name26"
CUSTODII_COLONIZER_Name_27:0 "COLONIZER_Name27"
CUSTODII_COLONIZER_Name_28:0 "COLONIZER_Name28"
CUSTODII_COLONIZER_Name_29:0 "COLONIZER_Name29"
CUSTODII_COLONIZER_Name_30:0 "COLONIZER_Name30"
CUSTODII_COLONIZER_Name_31:0 "COLONIZER_Name31"
CUSTODII_COLONIZER_Name_32:0 "COLONIZER_Name32"
CUSTODII_COLONIZER_Name_33:0 "COLONIZER_Name33"
CUSTODII_COLONIZER_Name_34:0 "COLONIZER_Name34"
CUSTODII_COLONIZER_Name_35:0 "COLONIZER_Name35"
CUSTODII_COLONIZER_Name_36:0 "COLONIZER_Name36"
CUSTODII_COLONIZER_Name_37:0 "COLONIZER_Name37"
CUSTODII_COLONIZER_Name_38:0 "COLONIZER_Name38"
CUSTODII_COLONIZER_Name_39:0 "COLONIZER_Name39"
CUSTODII_COLONIZER_Name_40:0 "COLONIZER_Name40"
CUSTODII_COLOSSUS_Name_01:0 "COLOSSUS_Name01"
CUSTODII_COLOSSUS_Name_02:0 "COLOSSUS_Name02"
CUSTODII_COLOSSUS_Name_03:0 "COLOSSUS_Name03"
CUSTODII_COLOSSUS_Name_04:0 "COLOSSUS_Name04"
CUSTODII_COLOSSUS_Name_05:0 "COLOSSUS_Name05"
CUSTODII_COLOSSUS_Name_06:0 "COLOSSUS_Name06"
CUSTODII_COLOSSUS_Name_07:0 "COLOSSUS_Name07"
CUSTODII_COLOSSUS_Name_08:0 "COLOSSUS_Name08"
CUSTODII_COLOSSUS_Name_09:0 "COLOSSUS_Name09"
CUSTODII_COLOSSUS_Name_10:0 "COLOSSUS_Name10"
CUSTODII_COLOSSUS_Name_11:0 "COLOSSUS_Name11"
CUSTODII_COLOSSUS_Name_12:0 "COLOSSUS_Name12"
CUSTODII_COLOSSUS_Name_13:0 "COLOSSUS_Name13"
CUSTODII_COLOSSUS_Name_14:0 "COLOSSUS_Name14"
CUSTODII_COLOSSUS_Name_15:0 "COLOSSUS_Name15"
CUSTODII_COLOSSUS_Name_16:0 "COLOSSUS_Name16"
CUSTODII_COLOSSUS_Name_17:0 "COLOSSUS_Name17"
CUSTODII_COLOSSUS_Name_18:0 "COLOSSUS_Name18"
CUSTODII_COLOSSUS_Name_19:0 "COLOSSUS_Name19"
CUSTODII_COLOSSUS_Name_20:0 "COLOSSUS_Name20"
CUSTODII_COLOSSUS_Name_21:0 "COLOSSUS_Name21"
CUSTODII_COLOSSUS_Name_22:0 "COLOSSUS_Name22"
CUSTODII_COLOSSUS_Name_23:0 "COLOSSUS_Name23"
CUSTODII_COLOSSUS_Name_24:0 "COLOSSUS_Name24"
CUSTODII_COLOSSUS_Name_25:0 "COLOSSUS_Name25"
CUSTODII_COLOSSUS_Name_26:0 "COLOSSUS_Name26"
CUSTODII_COLOSSUS_Name_27:0 "COLOSSUS_Name27"
CUSTODII_COLOSSUS_Name_28:0 "COLOSSUS_Name28"
CUSTODII_COLOSSUS_Name_29:0 "COLOSSUS_Name29"
CUSTODII_COLOSSUS_Name_30:0 "COLOSSUS_Name30"
CUSTODII_COLOSSUS_Name_31:0 "COLOSSUS_Name31"
CUSTODII_COLOSSUS_Name_32:0 "COLOSSUS_Name32"
CUSTODII_COLOSSUS_Name_33:0 "COLOSSUS_Name33"
CUSTODII_COLOSSUS_Name_34:0 "COLOSSUS_Name34"
CUSTODII_COLOSSUS_Name_35:0 "COLOSSUS_Name35"
CUSTODII_COLOSSUS_Name_36:0 "COLOSSUS_Name36"
CUSTODII_COLOSSUS_Name_37:0 "COLOSSUS_Name37"
CUSTODII_COLOSSUS_Name_38:0 "COLOSSUS_Name38"
CUSTODII_COLOSSUS_Name_39:0 "COLOSSUS_Name39"
CUSTODII_COLOSSUS_Name_40:0 "COLOSSUS_Name40"
CUSTODII_CONSTRUCTOR_Name_01:0 "CONSTRUCTOR_Name01"
CUSTODII_CONSTRUCTOR_Name_02:0 "CONSTRUCTOR_Name02"
CUSTODII_CONSTRUCTOR_Name_03:0 "CONSTRUCTOR_Name03"
CUSTODII_CONSTRUCTOR_Name_04:0 "CONSTRUCTOR_Name04"
CUSTODII_CONSTRUCTOR_Name_05:0 "CONSTRUCTOR_Name05"
CUSTODII_CONSTRUCTOR_Name_06:0 "CONSTRUCTOR_Name06"
CUSTODII_CONSTRUCTOR_Name_07:0 "CONSTRUCTOR_Name07"
CUSTODII_CONSTRUCTOR_Name_08:0 "CONSTRUCTOR_Name08"
CUSTODII_CONSTRUCTOR_Name_09:0 "CONSTRUCTOR_Name09"
CUSTODII_CONSTRUCTOR_Name_10:0 "CONSTRUCTOR_Name10"
CUSTODII_CONSTRUCTOR_Name_11:0 "CONSTRUCTOR_Name11"
CUSTODII_CONSTRUCTOR_Name_12:0 "CONSTRUCTOR_Name12"
CUSTODII_CONSTRUCTOR_Name_13:0 "CONSTRUCTOR_Name13"
CUSTODII_CONSTRUCTOR_Name_14:0 "CONSTRUCTOR_Name14"
CUSTODII_CONSTRUCTOR_Name_15:0 "CONSTRUCTOR_Name15"
CUSTODII_CONSTRUCTOR_Name_16:0 "CONSTRUCTOR_Name16"
CUSTODII_CONSTRUCTOR_Name_17:0 "CONSTRUCTOR_Name17"
CUSTODII_CONSTRUCTOR_Name_18:0 "CONSTRUCTOR_Name18"
CUSTODII_CONSTRUCTOR_Name_19:0 "CONSTRUCTOR_Name19"
CUSTODII_CONSTRUCTOR_Name_20:0 "CONSTRUCTOR_Name20"
CUSTODII_CONSTRUCTOR_Name_21:0 "CONSTRUCTOR_Name21"
CUSTODII_CONSTRUCTOR_Name_22:0 "CONSTRUCTOR_Name22"
CUSTODII_CONSTRUCTOR_Name_23:0 "CONSTRUCTOR_Name23"
CUSTODII_CONSTRUCTOR_Name_24:0 "CONSTRUCTOR_Name24"
CUSTODII_CONSTRUCTOR_Name_25:0 "CONSTRUCTOR_Name25"
CUSTODII_CONSTRUCTOR_Name_26:0 "CONSTRUCTOR_Name26"
CUSTODII_CONSTRUCTOR_Name_27:0 "CONSTRUCTOR_Name27"
CUSTODII_CONSTRUCTOR_Name_28:0 "CONSTRUCTOR_Name28"
CUSTODII_CONSTRUCTOR_Name_29:0 "CONSTRUCTOR_Name29"
CUSTODII_CONSTRUCTOR_Name_30:0 "CONSTRUCTOR_Name30"
CUSTODII_CONSTRUCTOR_Name_31:0 "CONSTRUCTOR_Name31"
CUSTODII_CONSTRUCTOR_Name_32:0 "CONSTRUCTOR_Name32"
CUSTODII_CONSTRUCTOR_Name_33:0 "CONSTRUCTOR_Name33"
CUSTODII_CONSTRUCTOR_Name_34:0 "CONSTRUCTOR_Name34"
CUSTODII_CONSTRUCTOR_Name_35:0 "CONSTRUCTOR_Name35"
CUSTODII_CONSTRUCTOR_Name_36:0 "CONSTRUCTOR_Name36"
CUSTODII_CONSTRUCTOR_Name_37:0 "CONSTRUCTOR_Name37"
CUSTODII_CONSTRUCTOR_Name_38:0 "CONSTRUCTOR_Name38"
CUSTODII_CONSTRUCTOR_Name_39:0 "CONSTRUCTOR_Name39"
CUSTODII_CONSTRUCTOR_Name_40:0 "CONSTRUCTOR_Name40"
CUSTODII_CORVETTE_Name_01:0 "CORVETTE_Name01"
CUSTODII_CORVETTE_Name_02:0 "CORVETTE_Name02"
CUSTODII_CORVETTE_Name_03:0 "CORVETTE_Name03"
CUSTODII_CORVETTE_Name_04:0 "CORVETTE_Name04"
CUSTODII_CORVETTE_Name_05:0 "CORVETTE_Name05"
CUSTODII_CORVETTE_Name_06:0 "CORVETTE_Name06"
CUSTODII_CORVETTE_Name_07:0 "CORVETTE_Name07"
CUSTODII_CORVETTE_Name_08:0 "CORVETTE_Name08"
CUSTODII_CORVETTE_Name_09:0 "CORVETTE_Name09"
CUSTODII_CORVETTE_Name_10:0 "CORVETTE_Name10"
CUSTODII_CORVETTE_Name_11:0 "CORVETTE_Name11"
CUSTODII_CORVETTE_Name_12:0 "CORVETTE_Name12"
CUSTODII_CORVETTE_Name_13:0 "CORVETTE_Name13"
CUSTODII_CORVETTE_Name_14:0 "CORVETTE_Name14"
CUSTODII_CORVETTE_Name_15:0 "CORVETTE_Name15"
CUSTODII_CORVETTE_Name_16:0 "CORVETTE_Name16"
CUSTODII_CORVETTE_Name_17:0 "CORVETTE_Name17"
CUSTODII_CORVETTE_Name_18:0 "CORVETTE_Name18"
CUSTODII_CORVETTE_Name_19:0 "CORVETTE_Name19"
CUSTODII_CORVETTE_Name_20:0 "CORVETTE_Name20"
CUSTODII_CORVETTE_Name_21:0 "CORVETTE_Name21"
CUSTODII_CORVETTE_Name_22:0 "CORVETTE_Name22"
CUSTODII_CORVETTE_Name_23:0 "CORVETTE_Name23"
CUSTODII_CORVETTE_Name_24:0 "CORVETTE_Name24"
CUSTODII_CORVETTE_Name_25:0 "CORVETTE_Name25"
CUSTODII_CORVETTE_Name_26:0 "CORVETTE_Name26"
CUSTODII_CORVETTE_Name_27:0 "CORVETTE_Name27"
CUSTODII_CORVETTE_Name_28:0 "CORVETTE_Name28"
CUSTODII_CORVETTE_Name_29:0 "CORVETTE_Name29"
CUSTODII_CORVETTE_Name_30:0 "CORVETTE_Name30"
CUSTODII_CORVETTE_Name_31:0 "CORVETTE_Name31"
CUSTODII_CORVETTE_Name_32:0 "CORVETTE_Name32"
CUSTODII_CORVETTE_Name_33:0 "CORVETTE_Name33"
CUSTODII_CORVETTE_Name_34:0 "CORVETTE_Name34"
CUSTODII_CORVETTE_Name_35:0 "CORVETTE_Name35"
CUSTODII_CORVETTE_Name_36:0 "CORVETTE_Name36"
CUSTODII_CORVETTE_Name_37:0 "CORVETTE_Name37"
CUSTODII_CORVETTE_Name_38:0 "CORVETTE_Name38"
CUSTODII_CORVETTE_Name_39:0 "CORVETTE_Name39"
CUSTODII_CORVETTE_Name_40:0 "CORVETTE_Name40"
CUSTODII_CRUISER_Name_01:0 "CRUISER_Name01"
CUSTODII_CRUISER_Name_02:0 "CRUISER_Name02"
CUSTODII_CRUISER_Name_03:0 "CRUISER_Name03"
CUSTODII_CRUISER_Name_04:0 "CRUISER_Name04"
CUSTODII_CRUISER_Name_05:0 "CRUISER_Name05"
CUSTODII_CRUISER_Name_06:0 "CRUISER_Name06"
CUSTODII_CRUISER_Name_07:0 "CRUISER_Name07"
CUSTODII_CRUISER_Name_08:0 "CRUISER_Name08"
CUSTODII_CRUISER_Name_09:0 "CRUISER_Name09"
CUSTODII_CRUISER_Name_10:0 "CRUISER_Name10"
CUSTODII_CRUISER_Name_11:0 "CRUISER_Name11"
CUSTODII_CRUISER_Name_12:0 "CRUISER_Name12"
CUSTODII_CRUISER_Name_13:0 "CRUISER_Name13"
CUSTODII_CRUISER_Name_14:0 "CRUISER_Name14"
CUSTODII_CRUISER_Name_15:0 "CRUISER_Name15"
CUSTODII_CRUISER_Name_16:0 "CRUISER_Name16"
CUSTODII_CRUISER_Name_17:0 "CRUISER_Name17"
CUSTODII_CRUISER_Name_18:0 "CRUISER_Name18"
CUSTODII_CRUISER_Name_19:0 "CRUISER_Name19"
CUSTODII_CRUISER_Name_20:0 "CRUISER_Name20"
CUSTODII_CRUISER_Name_21:0 "CRUISER_Name21"
CUSTODII_CRUISER_Name_22:0 "CRUISER_Name22"
CUSTODII_CRUISER_Name_23:0 "CRUISER_Name23"
CUSTODII_CRUISER_Name_24:0 "CRUISER_Name24"
CUSTODII_CRUISER_Name_25:0 "CRUISER_Name25"
CUSTODII_CRUISER_Name_26:0 "CRUISER_Name26"
CUSTODII_CRUISER_Name_27:0 "CRUISER_Name27"
CUSTODII_CRUISER_Name_28:0 "CRUISER_Name28"
CUSTODII_CRUISER_Name_29:0 "CRUISER_Name29"
CUSTODII_CRUISER_Name_30:0 "CRUISER_Name30"
CUSTODII_CRUISER_Name_31:0 "CRUISER_Name31"
CUSTODII_CRUISER_Name_32:0 "CRUISER_Name32"
CUSTODII_CRUISER_Name_33:0 "CRUISER_Name33"
CUSTODII_CRUISER_Name_34:0 "CRUISER_Name34"
CUSTODII_CRUISER_Name_35:0 "CRUISER_Name35"
CUSTODII_CRUISER_Name_36:0 "CRUISER_Name36"
CUSTODII_CRUISER_Name_37:0 "CRUISER_Name37"
CUSTODII_CRUISER_Name_38:0 "CRUISER_Name38"
CUSTODII_CRUISER_Name_39:0 "CRUISER_Name39"
CUSTODII_CRUISER_Name_40:0 "CRUISER_Name40"
CUSTODII_DEFENSE_ARMY_SEQ:0 "CUSTODII_DEFENSE_ARMY_SEQ"
CUSTODII_DESTROYER_Name_01:0 "DESTROYER_Name01"
CUSTODII_DESTROYER_Name_02:0 "DESTROYER_Name02"
CUSTODII_DESTROYER_Name_03:0 "DESTROYER_Name03"
CUSTODII_DESTROYER_Name_04:0 "DESTROYER_Name04"
CUSTODII_DESTROYER_Name_05:0 "DESTROYER_Name05"
CUSTODII_DESTROYER_Name_06:0 "DESTROYER_Name06"
CUSTODII_DESTROYER_Name_07:0 "DESTROYER_Name07"
CUSTODII_DESTROYER_Name_08:0 "DESTROYER_Name08"
CUSTODII_DESTROYER_Name_09:0 "DESTROYER_Name09"
CUSTODII_DESTROYER_Name_10:0 "DESTROYER_Name10"
CUSTODII_DESTROYER_Name_11:0 "DESTROYER_Name11"
CUSTODII_DESTROYER_Name_12:0 "DESTROYER_Name12"
CUSTODII_DESTROYER_Name_13:0 "DESTROYER_Name13"
CUSTODII_DESTROYER_Name_14:0 "DESTROYER_Name14"
CUSTODII_DESTROYER_Name_15:0 "DESTROYER_Name15"
CUSTODII_DESTROYER_Name_16:0 "DESTROYER_Name16"
CUSTODII_DESTROYER_Name_17:0 "DESTROYER_Name17"
CUSTODII_DESTROYER_Name_18:0 "DESTROYER_Name18"
CUSTODII_DESTROYER_Name_19:0 "DESTROYER_Name19"
CUSTODII_DESTROYER_Name_20:0 "DESTROYER_Name20"
CUSTODII_DESTROYER_Name_21:0 "DESTROYER_Name21"
CUSTODII_DESTROYER_Name_22:0 "DESTROYER_Name22"
CUSTODII_DESTROYER_Name_23:0 "DESTROYER_Name23"
CUSTODII_DESTROYER_Name_24:0 "DESTROYER_Name24"
CUSTODII_DESTROYER_Name_25:0 "DESTROYER_Name25"
CUSTODII_DESTROYER_Name_26:0 "DESTROYER_Name26"
CUSTODII_DESTROYER_Name_27:0 "DESTROYER_Name27"
CUSTODII_DESTROYER_Name_28:0 "DESTROYER_Name28"
CUSTODII_DESTROYER_Name_29:0 "DESTROYER_Name29"
CUSTODII_DESTROYER_Name_30:0 "DESTROYER_Name30"
CUSTODII_DESTROYER_Name_31:0 "DESTROYER_Name31"
CUSTODII_DESTROYER_Name_32:0 "DESTROYER_Name32"
CUSTODII_DESTROYER_Name_33:0 "DESTROYER_Name33"
CUSTODII_DESTROYER_Name_34:0 "DESTROYER_Name34"
CUSTODII_DESTROYER_Name_35:0 "DESTROYER_Name35"
CUSTODII_DESTROYER_Name_36:0 "DESTROYER_Name36"
CUSTODII_DESTROYER_Name_37:0 "DESTROYER_Name37"
CUSTODII_DESTROYER_Name_38:0 "DESTROYER_Name38"
CUSTODII_DESTROYER_Name_39:0 "DESTROYER_Name39"
CUSTODII_DESTROYER_Name_40:0 "DESTROYER_Name40"
CUSTODII_DREADNOUGHT_Name_01:0 "DREADNOUGHT_Name01"
CUSTODII_DREADNOUGHT_Name_02:0 "DREADNOUGHT_Name02"
CUSTODII_DREADNOUGHT_Name_03:0 "DREADNOUGHT_Name03"
CUSTODII_DREADNOUGHT_Name_04:0 "DREADNOUGHT_Name04"
CUSTODII_DREADNOUGHT_Name_05:0 "DREADNOUGHT_Name05"
CUSTODII_DREADNOUGHT_Name_06:0 "DREADNOUGHT_Name06"
CUSTODII_DREADNOUGHT_Name_07:0 "DREADNOUGHT_Name07"
CUSTODII_DREADNOUGHT_Name_08:0 "DREADNOUGHT_Name08"
CUSTODII_DREADNOUGHT_Name_09:0 "DREADNOUGHT_Name09"
CUSTODII_DREADNOUGHT_Name_10:0 "DREADNOUGHT_Name10"
CUSTODII_DREADNOUGHT_Name_11:0 "DREADNOUGHT_Name11"
CUSTODII_DREADNOUGHT_Name_12:0 "DREADNOUGHT_Name12"
CUSTODII_DREADNOUGHT_Name_13:0 "DREADNOUGHT_Name13"
CUSTODII_DREADNOUGHT_Name_14:0 "DREADNOUGHT_Name14"
CUSTODII_DREADNOUGHT_Name_15:0 "DREADNOUGHT_Name15"
CUSTODII_DREADNOUGHT_Name_16:0 "DREADNOUGHT_Name16"
CUSTODII_DREADNOUGHT_Name_17:0 "DREADNOUGHT_Name17"
CUSTODII_DREADNOUGHT_Name_18:0 "DREADNOUGHT_Name18"
CUSTODII_DREADNOUGHT_Name_19:0 "DREADNOUGHT_Name19"
CUSTODII_DREADNOUGHT_Name_20:0 "DREADNOUGHT_Name20"
CUSTODII_DREADNOUGHT_Name_21:0 "DREADNOUGHT_Name21"
CUSTODII_DREADNOUGHT_Name_22:0 "DREADNOUGHT_Name22"
CUSTODII_DREADNOUGHT_Name_23:0 "DREADNOUGHT_Name23"
